name,title,url,author,publisher,issued,publisher_classification,description,tags,license_id,license_url,place,location,country,language,status,metadatacreated,generator,api_endpoint,api_type,full_metadata_download
Corte Suprema de la Nación,Corte Suprema de la Nación,http://datos.csjn.gov.ar/,Gobierno Abierto Judicial,Gobierno Abierto Judicial,,Government,Portal de Datos de la Corte Suprema de Justicia,,Unknown,,,,,,active,,,,,
Presidencia,Presidencia,http://datos.gob.ar,Dirección Nacional de Datos e Información Pública,Dirección Nacional de Datos e Información Pública,,Government,Portal de datos del Gobierno Nacional,,Unknown,,,,,,active,,,,,
Ministerio de Energía,Ministerio de Energía,http://datos.minem.gob.ar/,Subsecretaría de Escenarios y Evaluación de Proyectos,Subsecretaría de Escenarios y Evaluación de Proyectos,,Government,Portal de Datos del Ministerio de Energía,,unknown,,,,,,active,,,,None,
Ministerio de Agroindustria,Ministerio de Agroindustria,https://datos.magyp.gob.ar/,Subsecretaría de Coordinación Técnica y Administrativa | Dirección de Informática,Subsecretaría de Coordinación Técnica y Administrativa | Dirección de Informática,,Government,Portal de Datos del Ministerio de Agroindustria,,,,,,,,active,,,,None,
"Tierra del Fuego, Antártida e Isla del Atlántico Sur","Tierra del Fuego, Antártida e Isla del Atlántico Sur",http://data.tierradelfuego.gov.ar/,Sec. de Informática y Telecomunicaciones,Sec. de Informática y Telecomunicaciones,,Government,Portal de Datos de la Provincia de Tierra del Fuego,,,,,,,,active,,,,None,
Jujuy,Jujuy,http://datos.gajujuy.gob.ar/,Dirección de Transparencia y Gobierno Abierto,Dirección de Transparencia y Gobierno Abierto,,Government,Portal de Datos de la Provincia de Jujuy,,,,,,,,active,,,,,
Neuquén,Neuquén,http://datos.neuquen.gob.ar/about,Secretaría de Gestión Pública,Secretaría de Gestión Pública,,Government,Portal de Datos de la Provincia de Neuquén,,,,,,,,active,,,,,
San Luis,San Luis,http://ga.ulp.edu.ar/api/,Universidad de la Punta,Universidad de la Punta,,Government,Portal de Datos de la Provincia de San Luis,,,,,,,,active,,,,,
Misiones,Misiones,http://www.datos.misiones.gov.ar/,,,,Government,Portal de Datos de la Provincia de Misiones,,,,,,,,active,,,,API CKAN,
La Rioja,La Rioja,http://www.larioja.org/dato-abierto-rioja/es?datos=T,,,,Government,Portal de Datos de la Provincia de La Rioja,,,,,,,,active,,,,,
Ciudad de Mendoza,Ciudad de Mendoza,http://ckan.ciudaddemendoza.gov.ar/,,,,Government,Portal de Datos de la Ciudad de Mendoza,,,,,,,,active,,,,,
Formosa,Formosa,https://www.formosa.gob.ar/datosabiertos,,,,Government,Portal de Datos de la Provincia de Formosa,,,,,,,,active,,,,,
Bahía blanca,Bahía blanca,http://datos.bahiablanca.gob.ar/home,Secretaría de Modernización y Gobierno Abierto,Secretaría de Modernización y Gobierno Abierto,,Government,Portal de Datos de la Ciudad de Bahia Blanca,,,,,,,,active,,,,,
Córdoba,Córdoba,http://cdcordoba.opendata.junar.com/home/,Consejo Deliberante de Córdoba,Consejo Deliberante de Córdoba,,Government,Portal de Datos del Consejo Deliberante de Córdoba,,,,,,,,active,,,,,
Buenos Aires,Buenos Aires,http://data.buenosaires.gob.ar/,Ministerio de Modernización,Ministerio de Modernización,,Government,Portal de Datos de la Ciudad de Buenos Aires,,,,,,,,active,,,,,
Gualeguaychú,Gualeguaychú,http://data.gualeguaychu.gov.ar/,,,,Government,Portal de Datos de la Ciudad de Gualeguaychú,,,,,,,,active,,,,,
Mercedes,Mercedes,http://www.mercedes.gob.ar/abierto/,,,,Government,Portal de Datos de la Ciudad de Mercedes,,,,,,,,Inactive,,,,,
Pilar,Pilar,http://datosabiertos.pilar.gov.ar/home,Secretaría de Modernización y Transparencia,Secretaría de Modernización y Transparencia,,Government,Portal de Datos de la Ciudad de Pilar,,,,,,,,active,,,,,
Tigre,Tigre,http://tigre.opendata.junar.com/home,Innovación Tigre,Innovación Tigre,,Government,Portal de Datos de la Ciudad de Tigre,,,,,,,,active,,,,,
General Pueyrredón,General Pueyrredón,http://www.mardelplata.gob.ar/opendata,,,,Government,Portal de Datos de la Ciudad de Mar del Plata,,,,,,,,active,,,,,
Córdoba,Córdoba,https://gobiernoabierto.cordoba.gov.ar/data/datos-abiertos,"Secretaría de Modernización, Comunicación y Desarrollo Estratégico","Secretaría de Modernización, Comunicación y Desarrollo Estratégico",,Government,Portal de Datos de la Ciudad de Córdoba,,,,,,,,active,,,,,
Junín,Junín,http://www.junin.gob.ar/ga/,,,,Government,Portal de Datos de la Ciudad de Junín,,,,,,,,active,,,,,
Córdoba (Transparencia),Córdoba (Transparencia),http://transparencia.cba.gov.ar/,Gobierno de la Provincia de Córdoba,Gobierno de la Provincia de Córdoba,,Government,Portal de Transparencia de la Provincia de Córdoba,,,,,,,,active,,,,,
Catamarca (Transparencia),Catamarca (Transparencia),http://www.transparencia.catamarca.gov.ar/index.html,Dirección Provincial de Informática,Dirección Provincial de Informática,,Government,Portal de Transparencia de la Provincia de Catarca,,,,,,,,active,,,,,
Entre Ríos (Transparencia),Entre Ríos (Transparencia),https://www.entrerios.gov.ar/portal/index.php?codigo=31&codsubmenu=36&menu=menu&modulo=,Dirección General de Estadística y Censos,Dirección General de Estadística y Censos,,Government,Portal de Transparencia de la Provincia de Entre Ríos,,,,,,,,active,,,,,
Caja de Jubilación Pcia. De Córdoba,Caja de Jubilación Pcia. De Córdoba,http://www.cajajubilaciones.cba.gov.ar/portal/transparencia,,,,Government,Portal de Transparencia de la Caja de Jubilación de la Provincia de Córodba,,,,,,,,active,,,,,
Chubut,Chubut,http://datos.chubut.gov.ar/,,,,Government,Portal de Datos de la Provincia de Chubut,,,,,,,,active,,,,,
